keyword,target_url,city,priority,page_type,target_indexable
"maid service in sector 69 gurgaon",/gurgaon/sector-69,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 69 gurugram",/gurgaon/sector-69,gurgaon,very-high,"locality hub (alt name, same page)",yes
"full time maid in sector 69",/gurgaon/sector-69/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"live in maid in sector 69",/gurgaon/sector-69/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"24 hours maid in sector 69",/gurgaon/sector-69/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"part time maid in sector 69",/gurgaon/sector-69/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"hourly maid in sector 69",/gurgaon/sector-69/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"morning maid in sector 69",/gurgaon/sector-69/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"cook service in sector 69",/gurgaon/sector-69/cook,gurgaon,very-high,"service x locality (cook)",yes
"home cook in sector 69",/gurgaon/sector-69/cook,gurgaon,very-high,"service x locality (cook)",yes
"cook in sector 69",/gurgaon/sector-69/cook,gurgaon,very-high,"service x locality (cook)",yes
"babysitter in sector 69",/gurgaon/sector-69/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"nanny service in sector 69",/gurgaon/sector-69/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"japa maid in sector 69",/gurgaon/sector-69/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"elder care maid in sector 69",/gurgaon/sector-69/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"caretaker for elderly in sector 69",/gurgaon/sector-69/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"domestic help in sector 69",/gurgaon/sector-69/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"house help in sector 69",/gurgaon/sector-69/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"maid service in sector 70",/gurgaon/sector-70,gurgaon,very-high,"locality hub",yes
"maid agency in sector 70",/gurgaon/sector-70,gurgaon,very-high,"locality hub",yes
"maid provider in sector 70",/gurgaon/sector-70,gurgaon,very-high,"locality hub",yes
"house maid in sector 70",/gurgaon/sector-70,gurgaon,very-high,"locality hub",yes
"housemaid in sector 70",/gurgaon/sector-70,gurgaon,very-high,"locality hub",yes
"professional maid service in sector 70",/gurgaon/sector-70,gurgaon,very-high,"locality hub",yes
"best maid service in sector 70",/gurgaon/sector-70,gurgaon,very-high,"locality hub",yes
"verified maid service in sector 70",/gurgaon/sector-70,gurgaon,very-high,"locality hub",yes
"reliable maid service in sector 70",/gurgaon/sector-70,gurgaon,very-high,"locality hub",yes
"maid near me sector 70",/gurgaon/sector-70,gurgaon,very-high,"locality hub",yes
"maid service in sector 70 gurgaon",/gurgaon/sector-70,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 70 gurugram",/gurgaon/sector-70,gurgaon,very-high,"locality hub (alt name, same page)",yes
"full time maid in sector 70",/gurgaon/sector-70/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"live in maid in sector 70",/gurgaon/sector-70/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"24 hours maid in sector 70",/gurgaon/sector-70/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"part time maid in sector 70",/gurgaon/sector-70/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"hourly maid in sector 70",/gurgaon/sector-70/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"morning maid in sector 70",/gurgaon/sector-70/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"cook service in sector 70",/gurgaon/sector-70/cook,gurgaon,very-high,"service x locality (cook)",yes
"home cook in sector 70",/gurgaon/sector-70/cook,gurgaon,very-high,"service x locality (cook)",yes
"cook in sector 70",/gurgaon/sector-70/cook,gurgaon,very-high,"service x locality (cook)",yes
"babysitter in sector 70",/gurgaon/sector-70/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"nanny service in sector 70",/gurgaon/sector-70/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"japa maid in sector 70",/gurgaon/sector-70/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"elder care maid in sector 70",/gurgaon/sector-70/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"caretaker for elderly in sector 70",/gurgaon/sector-70/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"domestic help in sector 70",/gurgaon/sector-70/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"house help in sector 70",/gurgaon/sector-70/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"maid provider in sector 71",/gurgaon/sector-71,gurgaon,very-high,"locality hub",yes
"house maid in sector 71",/gurgaon/sector-71,gurgaon,very-high,"locality hub",yes
"housemaid in sector 71",/gurgaon/sector-71,gurgaon,very-high,"locality hub",yes
"professional maid service in sector 71",/gurgaon/sector-71,gurgaon,very-high,"locality hub",yes
"best maid service in sector 71",/gurgaon/sector-71,gurgaon,very-high,"locality hub",yes
"verified maid service in sector 71",/gurgaon/sector-71,gurgaon,very-high,"locality hub",yes
"reliable maid service in sector 71",/gurgaon/sector-71,gurgaon,very-high,"locality hub",yes
"maid near me sector 71",/gurgaon/sector-71,gurgaon,very-high,"locality hub",yes
"maid service in sector 71 gurgaon",/gurgaon/sector-71,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 71 gurugram",/gurgaon/sector-71,gurgaon,very-high,"locality hub (alt name, same page)",yes
"full time maid in sector 71",/gurgaon/sector-71/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"live in maid in sector 71",/gurgaon/sector-71/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"24 hours maid in sector 71",/gurgaon/sector-71/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"part time maid in sector 71",/gurgaon/sector-71/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"hourly maid in sector 71",/gurgaon/sector-71/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"morning maid in sector 71",/gurgaon/sector-71/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"cook service in sector 71",/gurgaon/sector-71/cook,gurgaon,very-high,"service x locality (cook)",yes
"home cook in sector 71",/gurgaon/sector-71/cook,gurgaon,very-high,"service x locality (cook)",yes
"babysitter in sector 71",/gurgaon/sector-71/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"nanny service in sector 71",/gurgaon/sector-71/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"japa maid in sector 71",/gurgaon/sector-71/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"elder care maid in sector 71",/gurgaon/sector-71/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"caretaker for elderly in sector 71",/gurgaon/sector-71/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"house help in sector 71",/gurgaon/sector-71/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"maid provider in sector 72",/gurgaon/sector-72,gurgaon,very-high,"locality hub",yes
"house maid in sector 72",/gurgaon/sector-72,gurgaon,very-high,"locality hub",yes
"housemaid in sector 72",/gurgaon/sector-72,gurgaon,very-high,"locality hub",yes
"professional maid service in sector 72",/gurgaon/sector-72,gurgaon,very-high,"locality hub",yes
"best maid service in sector 72",/gurgaon/sector-72,gurgaon,very-high,"locality hub",yes
"verified maid service in sector 72",/gurgaon/sector-72,gurgaon,very-high,"locality hub",yes
"reliable maid service in sector 72",/gurgaon/sector-72,gurgaon,very-high,"locality hub",yes
"maid near me sector 72",/gurgaon/sector-72,gurgaon,very-high,"locality hub",yes
"maid service in sector 72 gurgaon",/gurgaon/sector-72,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 72 gurugram",/gurgaon/sector-72,gurgaon,very-high,"locality hub (alt name, same page)",yes
"full time maid in sector 72",/gurgaon/sector-72/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"live in maid in sector 72",/gurgaon/sector-72/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"24 hours maid in sector 72",/gurgaon/sector-72/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"part time maid in sector 72",/gurgaon/sector-72/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"hourly maid in sector 72",/gurgaon/sector-72/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"morning maid in sector 72",/gurgaon/sector-72/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"cook service in sector 72",/gurgaon/sector-72/cook,gurgaon,very-high,"service x locality (cook)",yes
"home cook in sector 72",/gurgaon/sector-72/cook,gurgaon,very-high,"service x locality (cook)",yes
"babysitter in sector 72",/gurgaon/sector-72/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"nanny service in sector 72",/gurgaon/sector-72/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"japa maid in sector 72",/gurgaon/sector-72/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"elder care maid in sector 72",/gurgaon/sector-72/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"caretaker for elderly in sector 72",/gurgaon/sector-72/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"house help in sector 72",/gurgaon/sector-72/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"maid service in sector 73",/gurgaon/sector-73,gurgaon,very-high,"locality hub",yes
"maid agency in sector 73",/gurgaon/sector-73,gurgaon,very-high,"locality hub",yes
"maid provider in sector 73",/gurgaon/sector-73,gurgaon,very-high,"locality hub",yes
"house maid in sector 73",/gurgaon/sector-73,gurgaon,very-high,"locality hub",yes
"housemaid in sector 73",/gurgaon/sector-73,gurgaon,very-high,"locality hub",yes
"professional maid service in sector 73",/gurgaon/sector-73,gurgaon,very-high,"locality hub",yes
"best maid service in sector 73",/gurgaon/sector-73,gurgaon,very-high,"locality hub",yes
"verified maid service in sector 73",/gurgaon/sector-73,gurgaon,very-high,"locality hub",yes
"reliable maid service in sector 73",/gurgaon/sector-73,gurgaon,very-high,"locality hub",yes
"maid near me sector 73",/gurgaon/sector-73,gurgaon,very-high,"locality hub",yes
"maid service in sector 73 gurgaon",/gurgaon/sector-73,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 73 gurugram",/gurgaon/sector-73,gurgaon,very-high,"locality hub (alt name, same page)",yes
"full time maid in sector 73",/gurgaon/sector-73/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"live in maid in sector 73",/gurgaon/sector-73/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"24 hours maid in sector 73",/gurgaon/sector-73/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"part time maid in sector 73",/gurgaon/sector-73/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"hourly maid in sector 73",/gurgaon/sector-73/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"morning maid in sector 73",/gurgaon/sector-73/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"cook service in sector 73",/gurgaon/sector-73/cook,gurgaon,very-high,"service x locality (cook)",yes
"home cook in sector 73",/gurgaon/sector-73/cook,gurgaon,very-high,"service x locality (cook)",yes
"cook in sector 73",/gurgaon/sector-73/cook,gurgaon,very-high,"service x locality (cook)",yes
"babysitter in sector 73",/gurgaon/sector-73/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"nanny service in sector 73",/gurgaon/sector-73/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"japa maid in sector 73",/gurgaon/sector-73/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"elder care maid in sector 73",/gurgaon/sector-73/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"caretaker for elderly in sector 73",/gurgaon/sector-73/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"domestic help in sector 73",/gurgaon/sector-73/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"house help in sector 73",/gurgaon/sector-73/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"maid service in sector 74 gurgaon",/gurgaon/sector-74,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 74 gurugram",/gurgaon/sector-74,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 75 gurgaon",/gurgaon/sector-75,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 75 gurugram",/gurgaon/sector-75,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 76 gurgaon",/gurgaon/sector-76,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 76 gurugram",/gurgaon/sector-76,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 77 gurgaon",/gurgaon/sector-77,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 77 gurugram",/gurgaon/sector-77,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 82",/gurgaon/sector-82,gurgaon,very-high,"locality hub",yes
"maid agency in sector 82",/gurgaon/sector-82,gurgaon,very-high,"locality hub",yes
"maid provider in sector 82",/gurgaon/sector-82,gurgaon,very-high,"locality hub",yes
"house maid in sector 82",/gurgaon/sector-82,gurgaon,very-high,"locality hub",yes
"housemaid in sector 82",/gurgaon/sector-82,gurgaon,very-high,"locality hub",yes
"professional maid service in sector 82",/gurgaon/sector-82,gurgaon,very-high,"locality hub",yes
"best maid service in sector 82",/gurgaon/sector-82,gurgaon,very-high,"locality hub",yes
"verified maid service in sector 82",/gurgaon/sector-82,gurgaon,very-high,"locality hub",yes
"reliable maid service in sector 82",/gurgaon/sector-82,gurgaon,very-high,"locality hub",yes
"maid near me sector 82",/gurgaon/sector-82,gurgaon,very-high,"locality hub",yes
"maid service in sector 82 gurgaon",/gurgaon/sector-82,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 82 gurugram",/gurgaon/sector-82,gurgaon,very-high,"locality hub (alt name, same page)",yes
"full time maid in sector 82",/gurgaon/sector-82/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"live in maid in sector 82",/gurgaon/sector-82/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"24 hours maid in sector 82",/gurgaon/sector-82/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
